# Busqueda lineal. Tiempos en microsegundos
# Talla       Mejor       Peor     Promedio
#------------------------------------------
   10000      1.791      6.188      3.949
   20000      1.805     13.219      7.359
   30000      1.848     18.101      9.936
   40000      1.799     23.411     12.554
   50000      1.835     29.780     15.313
   60000      1.783     35.378     18.186
   70000      1.779     41.549     20.903
   80000      1.786     45.836     23.690
   90000      1.787     51.514     26.857
  100000      1.785     58.539     29.504
